tipo_contrato,puesto,fuente,salario_promedio,empresa,tecnologias,fecha_publicacion,ubicacion
full_time,Semi Senior Arquitecto de Software,Jooble,69828.0,No especificado,"Go, R, Express, AWS, AI, API, SPA",2025-05-25T20:50:48,USA
full_time,Junior Ingeniero en IA,Jooble,73786.0,No especificado,"C++, Go, Scala, Rust, R, Kubernetes, AI, DevOps, Microservices, API, SPA, Git",2025-05-25T00:50:53,Europe
full_time,Semi Senior Cloud Engineer,Jooble,47039.0,No especificado,"Go, Scala, R, React, AWS, AI, REST, API",2025-05-24T18:50:21,"LATAM, USA, Canada"
full_time,Junior Ingeniero de Redes,Adzuna,72055.0,No especificado,"Go, Rust, R, Express, AI, Agile, API, SPA, Git",2025-05-24T10:50:29,USA
full_time,Senior Product Owner,Adzuna,45945.0,No especificado,"Python, R, AI, REST, API, SPA, Git",2025-05-24T02:51:02,USA
full_time,Semi Senior Ingeniero de Machine Learning,Adzuna,31774.0,No especificado,"Python, JavaScript, Java, PHP, Go, R, SQL, React, Vue, Spring, Laravel, MySQL, MongoDB, Redis, Azure, Google Cloud, Kubernetes, AI, CI/CD, API, Backend, SPA",2025-05-24T02:50:46,Australia
full_time,Semi Senior Ingeniero de Machine Learning,Adzuna,42835.0,No especificado,"TypeScript, Scala, R, Express, Rails, AI, API, Backend",2025-05-23T22:50:41,USA
full_time,Semi Senior Ingeniero en IA,Adzuna,44323.0,No especificado,"Go, R, AI, API, Excel",2025-05-23T20:51:21,Worldwide
full_time,Junior Administrador de Bases de Datos,Adzuna,60041.0,No especificado,"Python, C++, Go, R, GCP, AI, REST, API, SPA, Excel, Git",2025-05-23T02:50:33,USA
contract,Senior Desarrollador Java,Adzuna,29096.0,No especificado,"Python, Go, Scala, Rust, R, AWS, Google Cloud, GCP, Kubernetes, GitLab, GitHub Actions, AI, CI/CD, API, SPA, Excel, Git",2025-05-22T20:50:37,LATAM
full_time,Lead Ingeniero en IA,Adzuna,35470.0,No especificado,"R, AI, REST, API, SPA, Git",2025-05-22T16:50:46,Europe
full_time,Senior Desarrollador Backend,Jooble,61361.0,No especificado,"Java, Kotlin, Scala, R, SQL, AI, API, SPA, Excel",2025-05-21T22:50:59,USA
full_time,Semi Senior Ingeniero de QA,Jooble,72819.0,No especificado,"Rust, R, Express, AI, API, SPA",2025-05-21T14:51:22,Ireland
full_time,Junior Site Reliability Engineer,Jooble,28272.0,No especificado,"Python, Go, Rust, R, SQL, Machine Learning, AI, API, SPA, Excel",2025-05-21T02:51:40,USA
full_time,Junior Especialista en Ciberseguridad,Jooble,28386.0,No especificado,"Python, JavaScript, Java, C#, Go, TypeScript, Scala, R, SQL, AWS, Azure, GCP, Machine Learning, AI, API, UI/UX, SPA, Excel",2025-05-21T02:51:09,Spain
full_time,Junior Desarrollador Python,Jooble,75812.0,No especificado,"C++, Go, Scala, Rust, R, AI, API",2025-05-20T18:50:37,"Europe, UK"
full_time,Senior Desarrollador Backend,Jooble,26910.0,No especificado,"Go, Rust, R, Azure, Docker, Terraform, Ansible, AI, DevOps, CI/CD, Agile, API, SPA, Git",2025-05-20T16:51:17,Serbia
contract,Junior Ingeniero DevOps,Adzuna,54130.0,No especificado,"Python, Go, Scala, R, AWS, Google Cloud, GCP, Docker, Kubernetes, Terraform, AI, DevOps, CI/CD, Agile, API, SPA, Excel, JIRA, Confluence, Git, Linux",2025-05-20T06:51:25,Mexico
full_time,Junior Desarrollador Full Stack,Adzuna,42771.0,No especificado,"PHP, Go, Ruby, Rust, R, Rails, AI, API, SPA",2025-05-20T06:50:50,UK
full_time,Junior Desarrollador Mobile,Jooble,51253.0,No especificado,"Python, JavaScript, Java, Go, TypeScript, Scala, Rust, R, React, Angular, Vue, AWS, Azure, GCP, Docker, Kubernetes, AI, Agile, API, Excel, Git",2025-05-19T22:51:03,"Europe, USA, Canada"
full_time,Senior Desarrollador .NET,Jooble,45378.0,No especificado,"Python, Go, Scala, Rust, R, AWS, Azure, GCP, Docker, Kubernetes, Machine Learning, AI, Deep Learning, CI/CD, Microservices, API, Frontend, Backend, SPA, Excel",2025-05-19T22:51:02,India
full_time,Senior Ingeniero de Software,Jooble,53698.0,No especificado,"Go, Rust, R, AI, REST, API, SPA, Excel, Git",2025-05-19T12:50:06,USA
full_time,Lead Desarrollador Mobile,Jooble,58167.0,No especificado,"JavaScript, Java, Go, Ruby, TypeScript, Scala, Rust, R, Oracle, AWS, Azure, Jenkins, GitHub Actions, AI, CI/CD, Agile, REST, API, Git",2025-05-18T16:51:12,USA
full_time,Senior Analista de BI,Adzuna,78474.0,No especificado,"C#, PHP, Scala, R, SQL, React, Laravel, MySQL, PostgreSQL, Redis, Docker, AI, CI/CD, Agile, REST, Microservices, API, Frontend, Backend, Excel, Git",2025-06-14T14:50:47,"USA, Canada"
full_time,Senior Desarrollador Blockchain,Jooble,31549.0,No especificado,"Go, Scala, R, React, Angular, AI, REST, API, Frontend, SPA, Excel",2025-05-07T02:50:55,USA
full_time,Lead Administrador de Sistemas,Jooble,31591.0,No especificado,"Go, Scala, R, AI, Agile, API, Frontend, JIRA, Confluence, Git",2025-05-03T08:51:16,UK
full_time,Senior Desarrollador Frontend,Adzuna,42892.0,No especificado,"JavaScript, Java, PHP, Go, TypeScript, R, React, Vue, AI, DevOps, Scrum, REST, API, Frontend, Backend, SPA, Git",2025-04-01T18:50:56,Poland
full_time,Junior Administrador de Sistemas,Adzuna,39702.0,No especificado,"Python, Go, Scala, R, SQL, AI, Agile, API, Frontend, Backend",2025-06-15T10:50:52,Turkey
full_time,Junior Administrador AWS,Jooble,69525.0,No especificado,"Python, Java, Go, TypeScript, Rust, R, Express, DynamoDB, AWS, Terraform, AI, REST, API, Backend, SPA, Excel",2025-05-17T22:50:59,Mexico
full_time,Lead Administrador de Sistemas,Adzuna,38624.0,No especificado,"C#, Go, Scala, R, SQL, PostgreSQL, Redis, AWS, Kubernetes, Terraform, AI, CI/CD, REST, GraphQL, API, Backend, Git",2025-05-17T20:51:20,Canada
full_time,Senior Product Owner,Adzuna,54991.0,No especificado,"Swift, Scala, Rust, R, AI, Agile, REST, GraphQL, API, Backend, Excel, Git",2025-05-09T00:50:18,India
full_time,Lead Technical Lead,Jooble,57504.0,No especificado,"Java, Go, Swift, Kotlin, TypeScript, Scala, R, React, Angular, Express, Flutter, MongoDB, Redis, Firebase, AWS, Docker, AI, Scrum, REST, Microservices, API, UI/UX, Backend, SPA, Git",2025-04-11T06:51:01,LATAM
full_time,Lead Desarrollador Frontend,Adzuna,38569.0,No especificado,"JavaScript, Java, Go, Ruby, Swift, TypeScript, R, SQL, React, Rails, Flutter, PostgreSQL, AWS, Docker, Terraform, AI, CI/CD, Agile, Scrum, API, Frontend, Backend, Excel, Git",2025-04-04T20:51:04,Poland
full_time,Lead Desarrollador Python,Jooble,49154.0,No especificado,"Go, Swift, Rust, R, Express, Machine Learning, AI, API, SPA",2025-06-17T12:51:11,USA
internship,Senior Ingeniero de Redes,Adzuna,33626.0,No especificado,"Python, Java, Go, R, Machine Learning, AI, API, SPA, Excel",2025-06-17T12:50:44,USA
full_time,Lead Científico de Datos,Jooble,45304.0,No especificado,"R, Express, Rails, Machine Learning, AI, REST, API, SPA, Git",2025-06-17T02:51:03,India
full_time,Junior Desarrollador Python,Adzuna,60567.0,No especificado,"Python, R, SQL, Machine Learning, AI, API",2025-06-15T16:51:19,USA
full_time,Junior Ingeniero de Redes,Adzuna,41751.0,No especificado,"Python, Java, Go, R, Machine Learning, AI, Deep Learning, API, SPA, Hadoop, Spark, Git",2025-06-15T02:50:09,India
contract,Semi Senior Ingeniero de Software,Adzuna,65751.0,No especificado,"Python, Go, R, Machine Learning, AI, REST, API, SPA, Excel",2025-06-14T14:50:49,LATAM
contract,Junior Desarrollador Java,Jooble,78381.0,No especificado,"Go, R, Machine Learning, AI, Agile, Scrum, API, SPA",2025-06-13T14:50:55,Canada
full_time,Lead Ingeniero en IA,Jooble,28514.0,No especificado,"Python, Go, R, Express, GCP, Machine Learning, AI, Deep Learning, Agile, Microservices, API, SPA, Excel",2025-06-12T18:50:05,USA
full_time,Senior Analista de Datos,Adzuna,46799.0,No especificado,"Python, Go, Rust, R, SQL, AWS, Machine Learning, AI, DevOps, API",2025-06-12T14:50:17,USA
full_time,Junior Desarrollador React,Jooble,28302.0,No especificado,"Python, Go, Scala, Rust, R, Kubernetes, GitLab, Terraform, Machine Learning, AI, CI/CD, REST, API, SPA, Excel, Git",2025-06-12T08:50:20,"Europe, UK"
full_time,Junior Analista de Datos,Adzuna,73586.0,No especificado,"Python, JavaScript, Java, Go, TypeScript, Scala, R, SQL, React, Django, Flask, Next.js, FastAPI, AWS, Azure, GCP, Docker, Kubernetes, Machine Learning, AI, REST, API, Frontend, Backend, Excel, Git",2025-06-12T02:50:41,"Spain, Azerbaijan"
contract,Senior Technical Lead,Adzuna,49064.0,No especificado,"Python, R, SQL, AWS, Machine Learning, AI, Agile, API, Tableau, Excel, JIRA, Confluence, Git",2025-06-11T10:50:45,"Georgia, Russia, Kazakhstan"
full_time,Lead Administrador AWS,Jooble,43309.0,No especificado,"Go, Rust, R, AWS, Machine Learning, AI, API, SPA",2025-06-11T06:50:37,USA
full_time,Semi Senior Desarrollador Blockchain,Jooble,63271.0,No especificado,"Go, R, Machine Learning, AI, API, SPA",2025-06-10T12:51:06,USA
full_time,Lead Científico de Datos,Jooble,77609.0,No especificado,"Python, Go, R, Machine Learning, AI, Deep Learning, REST, API, Excel",2025-06-10T08:50:52,Brazil
full_time,Senior Ingeniero en IA,Adzuna,42553.0,No especificado,"Python, Go, R, React, AWS, GitLab, Machine Learning, AI, CI/CD, REST, API, SPA, JIRA, Confluence, Git",2025-06-09T16:51:31,Europe
full_time,Semi Senior Científico de Datos,Jooble,46631.0,No especificado,"Python, Java, Go, R, Machine Learning, AI, Deep Learning, Agile, API, SPA, Hadoop, Spark, Excel, Git",2025-06-09T00:50:57,India
full_time,Semi Senior Administrador AWS,Adzuna,59810.0,No especificado,"Python, Go, Scala, R, SQL, Express, MySQL, Oracle, Redis, AWS, Azure, GCP, Docker, Kubernetes, Jenkins, Terraform, Ansible, Machine Learning, AI, CI/CD, API, Excel, Git, Linux",2025-06-09T00:50:49,Costa Rica
full_time,Senior Especialista DevSecOps,Adzuna,49570.0,No especificado,"Go, Rust, R, Machine Learning, AI, CI/CD, REST, API, Frontend, Backend, SPA, Excel",2025-06-07T04:50:50,USA
full_time,Semi Senior Ingeniero DevOps,Adzuna,32836.0,No especificado,"Python, Go, Scala, Rust, R, SQL, Express, AWS, Azure, GCP, Machine Learning, AI, Agile, API, SPA, Tableau, Power BI",2025-06-05T10:50:42,USA
contract,Semi Senior Desarrollador Mobile,Jooble,52889.0,No especificado,"Python, Go, Swift, Scala, Rust, R, SQL, PostgreSQL, AWS, Docker, Kubernetes, Machine Learning, AI, API, SPA",2025-06-05T04:51:23,"USA, Ireland, Spain"
full_time,Semi Senior Desarrollador React,Jooble,44048.0,No especificado,"Python, JavaScript, Java, Go, TypeScript, R, SQL, React, Express, PostgreSQL, Azure, Terraform, Machine Learning, AI, GraphQL, API",2025-06-03T16:50:47,"USA, Canada"
full_time,Lead Desarrollador Java,Adzuna,69367.0,No especificado,"Python, Go, Scala, R, Express, AWS, Azure, Google Cloud, Kubernetes, Machine Learning, AI, API, Excel, Linux",2025-06-02T16:50:47,USA
part_time,Semi Senior Desarrollador Java,Jooble,63456.0,No especificado,"Go, R, AWS, Machine Learning, AI, API, Excel, Git",2025-06-01T08:50:51,USA
full_time,Senior Administrador de Bases de Datos,Adzuna,31806.0,No especificado,"Go, R, Machine Learning, AI, API, SPA, Excel",2025-06-01T02:51:19,USA
freelance,Semi Senior Scrum Master,Adzuna,50268.0,No especificado,"Go, R, Machine Learning, AI, API, Excel, Git",2025-05-30T14:28:58,USA
full_time,Junior Product Owner,Jooble,44562.0,No especificado,"Go, Rust, R, Express, AWS, Machine Learning, AI, REST, API, SPA, Git",2025-05-30T06:50:44,USA
full_time,Senior Analista de Datos,Jooble,27586.0,No especificado,"Go, R, Express, Firebase, Azure, Machine Learning, AI, DevOps, REST, API, SPA, Excel, JIRA, Confluence, Git",2025-05-30T04:51:01,Spain
full_time,Lead Desarrollador Blockchain,Jooble,39805.0,No especificado,"Python, Go, Scala, R, AWS, Azure, Jenkins, GitHub Actions, Terraform, Machine Learning, AI, CI/CD, API, Git",2025-05-29T16:50:15,UK
full_time,Lead Desarrollador Java,Jooble,51543.0,No especificado,"R, Machine Learning, AI, API",2025-05-28T22:50:18,Worldwide
full_time,Senior Ingeniero de Software,Jooble,59628.0,No especificado,"Python, Go, Rust, R, Azure, Machine Learning, AI, API, Backend, Excel",2025-05-28T16:50:14,Worldwide
full_time,Junior Site Reliability Engineer,Jooble,55406.0,No especificado,"Go, R, Spring, Express, AWS, Machine Learning, AI, REST, API, SPA, Excel",2025-05-26T20:51:24,USA
contract,Semi Senior Especialista en Ciberseguridad,Adzuna,69340.0,No especificado,"Python, Go, Scala, R, SQL, AWS, Machine Learning, AI, API, SPA, ETL, Spark, Excel",2025-05-26T14:50:11,Mexico
full_time,Junior Administrador de Sistemas,Jooble,58587.0,No especificado,"Python, Go, Scala, R, AWS, Kubernetes, GitHub Actions, Terraform, Ansible, Machine Learning, AI, CI/CD, API, SPA, Git, Linux",2025-05-25T22:50:54,USA
contract,Junior Site Reliability Engineer,Adzuna,25852.0,No especificado,"Python, Go, Rust, R, AWS, GCP, Docker, Kubernetes, Jenkins, Terraform, Machine Learning, AI, DevOps, CI/CD, Scrum, REST, API, Backend, Git, Linux",2025-05-24T04:51:14,USA
full_time,Senior Desarrollador Blockchain,Adzuna,29395.0,No especificado,"Python, Go, Scala, Rust, R, AWS, Google Cloud, GCP, Kubernetes, Terraform, Machine Learning, AI, DevOps, CI/CD, REST, API, SPA, Git",2025-05-24T02:51:10,USA
full_time,Senior Site Reliability Engineer,Adzuna,46251.0,No especificado,"Go, R, Machine Learning, AI, API, SPA",2025-05-23T20:50:23,USA
full_time,Senior Desarrollador Java,Jooble,62004.0,No especificado,"Go, R, Express, Machine Learning, AI, REST, API, SPA, Spark, Git",2025-05-23T08:51:02,USA
full_time,Junior Product Owner,Jooble,59559.0,No especificado,"Scala, R, Vue, Express, Machine Learning, AI, API, SPA, Tableau, Looker, Excel",2025-05-23T06:50:47,Philippines
full_time,Junior Cloud Engineer,Jooble,60822.0,No especificado,"JavaScript, Java, R, Machine Learning, AI, Agile, Scrum, REST, API, SPA",2025-05-21T06:51:20,USA
full_time,Semi Senior Ingeniero de Software,Adzuna,71834.0,No especificado,"Go, R, SQL, Machine Learning, AI, REST, API, SPA, Excel",2025-05-21T02:51:32,Canada
full_time,Senior Ingeniero en IA,Jooble,26356.0,No especificado,"Go, Rust, R, Express, AWS, Machine Learning, AI, REST, API, SPA",2025-05-20T04:50:22,USA
full_time,Senior Ingeniero de Redes,Adzuna,43482.0,No especificado,"Python, Go, Scala, Rust, R, SQL, AWS, GCP, Machine Learning, AI, API, Excel",2025-05-20T03:55:52,Worldwide
full_time,Senior Desarrollador Python,Adzuna,73826.0,No especificado,"Python, Go, Rust, R, SQL, AWS, GCP, Machine Learning, AI, Agile, API, ETL, Power BI, Excel",2025-05-20T00:51:50,UK
full_time,Semi Senior Analista de Datos,Jooble,59468.0,No especificado,"Go, R, Machine Learning, AI, Agile, API",2025-05-19T10:50:54,USA
full_time,Junior Cloud Engineer,Jooble,61255.0,No especificado,"Python, Go, Scala, R, React, Redis, AWS, Azure, GCP, Docker, Kubernetes, Machine Learning, AI, DevOps, CI/CD, REST, API, Backend, SPA, Excel",2025-05-17T20:51:19,Europe
full_time,Senior Desarrollador Full Stack,Jooble,35776.0,No especificado,"Go, R, Machine Learning, AI, REST, API, SPA, Excel, Git",2025-05-16T06:50:58,USA
contract,Junior Desarrollador Backend,Jooble,57782.0,No especificado,"Go, R, AWS, Machine Learning, AI, API, SPA, Excel",2025-05-16T02:50:43,USA
full_time,Lead Ingeniero de QA,Jooble,52395.0,No especificado,"Go, Rust, R, Express, Machine Learning, AI, API, Git",2025-05-14T20:50:57,USA
full_time,Semi Senior Technical Lead,Jooble,45703.0,No especificado,"Python, C++, Scala, Rust, R, Machine Learning, AI, Agile, API, Full Stack, Excel",2025-05-14T18:50:46,"USA, Canada"
full_time,Senior Site Reliability Engineer,Adzuna,59536.0,No especificado,"Python, Go, R, SQL, Machine Learning, AI, Agile, REST, API, Tableau, Looker",2025-05-12T18:51:04,"USA, Canada"
full_time,Semi Senior Ingeniero de QA,Jooble,74575.0,No especificado,"Go, R, Machine Learning, AI, REST, API, SPA, Excel, Git",2025-05-12T16:50:15,USA
full_time,Senior Especialista DevSecOps,Jooble,56297.0,No especificado,"Python, Go, R, Machine Learning, AI, Deep Learning, API, Excel",2025-05-11T06:50:34,Worldwide
full_time,Semi Senior Científico de Datos,Jooble,43452.0,No especificado,"Python, Go, Scala, Rust, R, Vue, Docker, GitHub Actions, Machine Learning, AI, DevOps, CI/CD, API, SPA, Excel, Git, Linux, Windows",2025-05-11T00:50:23,USA
full_time,Lead Desarrollador Mobile,Jooble,75689.0,No especificado,"Go, Scala, R, Machine Learning, AI, API",2025-05-10T06:50:51,USA
full_time,Junior Especialista DevSecOps,Jooble,38643.0,No especificado,"Python, Go, Rust, R, SQL, Express, Machine Learning, AI, REST, API, Tableau, Looker, Excel, Git",2025-05-10T06:50:03,USA
full_time,Semi Senior Desarrollador Frontend,Jooble,68702.0,No especificado,"Go, R, SQL, Machine Learning, AI, API, Full Stack, SPA",2025-05-08T04:50:11,USA
full_time,Junior Ingeniero DevOps,Adzuna,25708.0,No especificado,"Go, Rust, R, Express, AWS, Machine Learning, AI, REST, API, SPA, Excel",2025-05-07T02:51:37,USA
full_time,Senior Cloud Engineer,Adzuna,28172.0,No especificado,"Go, Scala, Rust, R, AWS, Azure, GCP, Kubernetes, Machine Learning, AI, DevOps, CI/CD, API, SPA, Excel",2025-05-07T02:51:06,Germany
full_time,Semi Senior Analista de Datos,Adzuna,51319.0,No especificado,"C++, Go, Swift, R, Machine Learning, AI, API, SPA, Windows",2025-05-04T22:50:17,Northern America
full_time,Senior Desarrollador Python,Jooble,78936.0,No especificado,"Python, Java, C++, Go, R, Machine Learning, AI, REST, API, SPA, Excel",2025-05-04T22:50:17,"Taiwan, China"
full_time,Semi Senior Desarrollador .NET,Jooble,29195.0,No especificado,"Python, R, SQL, Machine Learning, AI, API, Power BI",2025-05-04T04:50:43,"USA, Canada"
full_time,Semi Senior Científico de Datos,Adzuna,42266.0,No especificado,"Go, R, Express, AWS, Azure, Docker, Jenkins, Terraform, Ansible, Machine Learning, AI, DevOps, CI/CD, Agile, Microservices, API",2025-05-03T20:50:42,"UK, Canada, India"
full_time,Semi Senior Especialista en Ciberseguridad,Jooble,49247.0,No especificado,"Swift, R, AI, DevOps, REST, API, SPA",2025-06-17T18:50:10,Philippines
full_time,Junior Product Owner,Adzuna,72563.0,No especificado,"Python, PHP, Go, R, SQL, MySQL, PostgreSQL, MongoDB, AWS, Docker, Kubernetes, GitHub Actions, Terraform, Ansible, AI, DevOps, CI/CD, Microservices, API, SPA, Git, Linux",2025-06-17T12:51:48,Europe
contract,Lead Analista de BI,Jooble,76434.0,No especificado,"Python, Go, Scala, R, Elasticsearch, AWS, Kubernetes, GitHub Actions, AI, DevOps, CI/CD, Agile, API, SPA, Excel, Git",2025-06-17T12:51:45,USA
full_time,Senior Ingeniero de Machine Learning,Adzuna,30968.0,No especificado,"JavaScript, Java, C#, Go, TypeScript, R, SQL, Angular, ASP.NET, SQL Server, Azure, AI, DevOps, CI/CD, Agile, REST, API, Excel, Git",2025-06-15T16:50:30,"UK, India"
contract,Junior Desarrollador Blockchain,Adzuna,66614.0,No especificado,"Python, Rust, R, Oracle, Ansible, AI, DevOps, Agile, API, Excel, Git",2025-06-15T16:50:30,USA
full_time,Senior Ingeniero de Software,Jooble,32012.0,No especificado,"Go, R, Spring, AWS, Azure, GCP, Docker, Kubernetes, AI, DevOps, CI/CD, Agile, API, Git, Linux",2025-06-15T10:52:06,Europe
full_time,Junior Technical Lead,Adzuna,31905.0,No especificado,"Java, Scala, R, Spring, AWS, AI, DevOps, CI/CD, Agile, Scrum, REST, Microservices, API, Backend, SPA, Git",2025-06-14T20:50:15,Germany
contract,Semi Senior Desarrollador Mobile,Jooble,50345.0,No especificado,"Python, Go, R, Jenkins, GitLab, AI, DevOps, API, SPA, Git, Linux",2025-06-14T06:51:34,Ukraine
full_time,Lead Analista de BI,Adzuna,61331.0,No especificado,"Python, JavaScript, Java, Scala, R, SQL, Azure, Jenkins, AI, DevOps, CI/CD, Agile, REST, API, Git",2025-06-13T14:51:06,India
full_time,Senior Desarrollador Backend,Adzuna,36357.0,No especificado,"JavaScript, Java, Go, Scala, R, AI, DevOps, REST, API, Excel, Windows",2025-06-13T04:51:22,USA
full_time,Senior Arquitecto de Software,Adzuna,79434.0,No especificado,"Python, JavaScript, Java, Scala, R, AWS, Docker, AI, DevOps, CI/CD, Agile, API, Git",2025-06-13T00:50:43,Canada
full_time,Semi Senior Analista de BI,Jooble,44528.0,No especificado,"JavaScript, Java, Go, TypeScript, Scala, R, React, Angular, Vue, Spring, AWS, AI, DevOps, CI/CD, API, Frontend, Backend, Git",2025-06-12T10:50:49,Europe
contract,Junior Desarrollador Backend,Jooble,49383.0,No especificado,"Python, R, Azure, Docker, Kubernetes, Ansible, AI, DevOps, CI/CD, API, Excel, Windows",2025-06-12T02:51:07,Czech Republic
full_time,Senior Analista de BI,Adzuna,51229.0,No especificado,"Go, Scala, Rust, R, AI, DevOps, REST, API, SPA, Excel, Git",2025-06-12T02:50:59,USA
full_time,Lead Ingeniero en IA,Jooble,42104.0,No especificado,"Python, Scala, R, Terraform, Ansible, AI, DevOps, API, SPA, Git, Windows, macOS",2025-06-11T12:50:45,Canada
full_time,Senior Desarrollador Backend,Adzuna,63611.0,No especificado,"Go, R, AI, DevOps, API, Excel",2025-06-11T04:50:52,UK
full_time,Junior Desarrollador Java,Jooble,68714.0,No especificado,"Go, Scala, R, Kubernetes, AI, DevOps, CI/CD, API, SPA",2025-06-10T09:06:12,European timezones
full_time,Lead Desarrollador Frontend,Jooble,76590.0,No especificado,"Python, Go, Scala, R, AWS, Azure, Google Cloud, Docker, Kubernetes, Terraform, Ansible, AI, DevOps, CI/CD, API",2025-06-09T06:51:07,Ukraine
full_time,Lead Ingeniero de Machine Learning,Jooble,73348.0,No especificado,"Java, C++, Ruby, R, AWS, AI, DevOps, CI/CD, API, SPA, Excel",2025-06-09T04:50:37,USA
full_time,Semi Senior Ingeniero en IA,Jooble,45225.0,No especificado,"Go, Scala, R, AWS, Google Cloud, Docker, Kubernetes, Jenkins, GitLab, Terraform, AI, DevOps, CI/CD, REST, API, SPA, Excel, Git",2025-06-08T00:50:25,Greece
internship,Lead Especialista en UX/UI,Adzuna,38129.0,No especificado,"Java, Go, R, SQL, AWS, Docker, Jenkins, GitLab, AI, DevOps, CI/CD, Agile, Scrum, API, SPA, TDD, Excel, Git, Linux",2025-06-08T00:50:24,Canada
full_time,Lead Ingeniero DevOps,Adzuna,49938.0,No especificado,"Python, JavaScript, Java, C#, C++, PHP, Go, Ruby, TypeScript, R, React, Angular, Vue, Django, Spring, Laravel, Flask, AI, DevOps, API, Frontend, Backend, SPA, Excel, Git",2025-06-07T16:50:54,LATAM
full_time,Lead Especialista en UX/UI,Adzuna,34966.0,No especificado,"Go, TypeScript, R, SQL, PostgreSQL, DynamoDB, AWS, Kubernetes, Jenkins, GitHub Actions, AI, DevOps, CI/CD, API, Backend, SPA, Git",2025-06-07T08:52:27,Colombia
full_time,Lead Científico de Datos,Adzuna,79665.0,No especificado,"Python, Go, Scala, R, Azure, Kubernetes, Terraform, AI, DevOps, CI/CD, Agile, API, Excel",2025-06-06T20:51:01,"Philippines, Vietnam"
full_time,Lead Analista de BI,Jooble,51084.0,No especificado,"Python, Go, R, AWS, GCP, Docker, Jenkins, GitHub Actions, Terraform, AI, DevOps, CI/CD, API, SPA, Git",2025-06-06T00:51:02,Canada
full_time,Senior Desarrollador Java,Adzuna,52077.0,No especificado,"Go, Scala, R, Express, AWS, Azure, Docker, Kubernetes, Jenkins, GitLab, AI, DevOps, CI/CD, REST, API, SPA, Excel, Git",2025-06-05T18:50:41,UK
full_time,Senior Ingeniero de Software,Adzuna,47728.0,No especificado,"Python, Go, R, SQL, AWS, Docker, Kubernetes, Jenkins, GitHub Actions, Terraform, AI, DevOps, CI/CD, API, Git",2025-06-05T02:50:59,Mexico
full_time,Senior Desarrollador .NET,Jooble,41931.0,No especificado,"Go, Scala, R, SQL, MySQL, MongoDB, Redis, Elasticsearch, Docker, Ansible, AI, DevOps, API, Backend, SPA, Excel, Git",2025-06-05T00:50:35,Europe
full_time,Junior Ingeniero DevOps,Adzuna,63029.0,No especificado,"Python, Go, Scala, R, AWS, Azure, Docker, Kubernetes, Terraform, Ansible, AI, DevOps, CI/CD, API, Frontend, Backend, Excel",2025-06-04T18:51:28,Australia
full_time,Semi Senior Cloud Engineer,Jooble,77810.0,No especificado,"Python, Go, Scala, R, AWS, Docker, Kubernetes, GitLab, Terraform, AI, DevOps, CI/CD, REST, API, Git",2025-06-04T16:50:51,India
full_time,Semi Senior Administrador AWS,Adzuna,35172.0,No especificado,"Go, R, SQL, PostgreSQL, Elasticsearch, AWS, Azure, Docker, Kubernetes, Ansible, AI, DevOps, Agile, Scrum, REST, Microservices, API, Linux",2025-06-04T14:50:25,Netherlands
full_time,Junior Ingeniero en IA,Jooble,43686.0,No especificado,"Python, Go, Swift, Scala, R, AWS, Docker, Kubernetes, Terraform, AI, DevOps, CI/CD, Agile, API, Excel",2025-06-04T00:51:13,Philippines
full_time,Lead Desarrollador Java,Adzuna,27147.0,No especificado,"Python, Go, Scala, Rust, R, AWS, Azure, Google Cloud, Docker, Kubernetes, Jenkins, GitLab, GitHub Actions, Terraform, Ansible, AI, DevOps, CI/CD, API, Git, Linux, Windows",2025-06-03T18:50:25,USA
full_time,Lead Arquitecto de Software,Adzuna,76233.0,No especificado,"Python, Go, R, SQL, PostgreSQL, Elasticsearch, AWS, Google Cloud, Docker, Kubernetes, GitHub Actions, Terraform, AI, DevOps, CI/CD, Agile, Scrum, REST, API, SPA, Excel, Git, Linux",2025-06-03T14:50:30,Canada
full_time,Senior Analista de BI,Jooble,48945.0,No especificado,"Python, Java, Go, Scala, R, Angular, AWS, Azure, AI, DevOps, CI/CD, Agile, Scrum, REST, API, Frontend, Backend, SPA, Spark, Excel, Windows",2025-06-03T06:50:36,Costa Rica
full_time,Senior Especialista en UX/UI,Adzuna,31296.0,No especificado,"Python, Go, Scala, R, Express, AWS, Azure, Google Cloud, Docker, Kubernetes, Jenkins, GitHub Actions, Terraform, Ansible, AI, DevOps, CI/CD, Scrum, API, SPA, Excel, Git",2025-06-02T12:50:52,USA
full_time,Junior Site Reliability Engineer,Adzuna,36128.0,No especificado,"Python, JavaScript, Java, Go, R, SQL, React, Rails, MySQL, Jenkins, AI, DevOps, CI/CD, REST, API, SPA, Excel, JIRA, Git, Linux, Windows",2025-06-02T04:51:16,Northern America
full_time,Semi Senior Desarrollador Frontend,Jooble,78619.0,No especificado,"Go, Rust, R, AWS, GCP, Kubernetes, AI, DevOps, REST, API, SPA, Git",2025-06-01T14:50:57,USA
full_time,Junior Product Owner,Adzuna,70099.0,No especificado,"Go, Rust, R, AWS, AI, DevOps, CI/CD, Agile, REST, API, Backend, JIRA, Git",2025-06-01T02:51:30,USA
