titulo,empresa,ubicacion,fecha_publicacion,tipo_contrato,jornada,salario,salario_min,salario_max,salario_promedio,descripcion,categoria,tecnologias,url,id,fuente,fecha_extraccion
Full Stack Developer,CloudNative,Madrid,2025-05-17,Completa,Completa,66000 - 105000 €,66000.0,105000.0,85500.0,"Estamos buscando un profesional con experiencia en SQL, GCP, Django, Java, Angular, Agile. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",IT Jobs,"SQL, GCP, Django, Java, Angular, Agile",https://www.ejemplo.com/job/1051,job-1051,Adzuna (Simulado),2025-05-18 13:11:27.076933
DevOps Engineer,DataMinds,Zaragoza,2025-05-06,Temporal,Completa,43000 - 91000 €,43000.0,91000.0,67000.0,"Estamos buscando un profesional con experiencia en Django, Jira, TypeScript, Express, Git, GCP, Angular. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Tecnología,"Django, Jira, TypeScript, Express, Git, GCP, Angular",https://www.ejemplo.com/job/1052,job-1052,Adzuna (Simulado),2025-05-18 13:11:27.076933
Product Manager,LogicWorks,Remoto,2025-05-04,Temporal,Parcial,40000 - 83000 €,40000.0,83000.0,61500.0,"Estamos buscando un profesional con experiencia en Kubernetes, Scrum, GitLab, Node.js, Jira, Python. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Tecnología,"Kubernetes, Scrum, GitLab, Node.js, Jira, Python",https://www.ejemplo.com/job/1053,job-1053,Adzuna (Simulado),2025-05-18 13:11:27.076933
Full Stack Developer,InnovateTech,Sevilla,2025-05-04,Completa,Parcial,42000 - 72000 €,42000.0,72000.0,57000.0,"Estamos buscando un profesional con experiencia en PostgreSQL, GCP, SQL, Linux. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Data Science,"PostgreSQL, GCP, SQL, Linux",https://www.ejemplo.com/job/1054,job-1054,Adzuna (Simulado),2025-05-18 13:11:27.076933
Cloud Architect,HyperData,Barcelona,2025-04-19,Temporal,Parcial,63000 - 85000 €,63000.0,85000.0,74000.0,"Estamos buscando un profesional con experiencia en Node.js, Vue.js, Java, Docker, JavaScript, Jira, Azure. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",UX/UI,"Node.js, Vue.js, Java, Docker, JavaScript, Jira, Azure",https://www.ejemplo.com/job/1055,job-1055,Adzuna (Simulado),2025-05-18 13:11:27.076933
Mobile Developer,GlobalTech,Valencia,2025-04-23,Freelance,Parcial,31000 - 45000 €,31000.0,45000.0,38000.0,"Estamos buscando un profesional con experiencia en TypeScript, Flask, Python, Node.js, REST API, Kubernetes, GitHub Actions. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",UX/UI,"TypeScript, Flask, Python, Node.js, REST API, Kubernetes, GitHub Actions",https://www.ejemplo.com/job/1056,job-1056,Adzuna (Simulado),2025-05-18 13:11:27.076933
Cloud Architect,FutureCode,Valencia,2025-04-28,Temporal,Parcial,48000 - 73000 €,48000.0,73000.0,60500.0,"Estamos buscando un profesional con experiencia en Agile, PostgreSQL, SQL, Scrum. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Desarrollo de Software,"Agile, PostgreSQL, SQL, Scrum",https://www.ejemplo.com/job/1057,job-1057,Adzuna (Simulado),2025-05-18 13:11:27.076933
Cybersecurity Analyst,DataMinds,Remoto,2025-04-24,Completa,Completa,32000 - 36000 €,32000.0,36000.0,34000.0,"Estamos buscando un profesional con experiencia en AWS, Python, PostgreSQL, Angular, React, Docker. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",UX/UI,"AWS, Python, PostgreSQL, Angular, React, Docker",https://www.ejemplo.com/job/1058,job-1058,Adzuna (Simulado),2025-05-18 13:11:27.076933
Technical Lead,TechCorp,Valencia,2025-05-14,Indefinido,Parcial,73000 - 111000 €,73000.0,111000.0,92000.0,"Estamos buscando un profesional con experiencia en MongoDB, Python, REST API. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Desarrollo de Software,"MongoDB, Python, REST API",https://www.ejemplo.com/job/1059,job-1059,Adzuna (Simulado),2025-05-18 13:11:27.076933
Desarrollador Python Senior,IntelliSoft,Bilbao,2025-04-28,Indefinido,Completa,43000 - 63000 €,43000.0,63000.0,53000.0,"Estamos buscando un profesional con experiencia en Python, Java, Azure, Vue.js, React, Spring, Django. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Tecnología,"Python, Java, Azure, Vue.js, React, Spring, Django",https://www.ejemplo.com/job/1060,job-1060,Adzuna (Simulado),2025-05-18 13:11:27.076933
Scrum Master,ElectronMinds,Barcelona,2025-04-30,Freelance,Parcial,43000 - 44000 €,43000.0,44000.0,43500.0,"Estamos buscando un profesional con experiencia en GitLab, Kubernetes, REST API, Express. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Data Science,"GitLab, Kubernetes, REST API, Express",https://www.ejemplo.com/job/1061,job-1061,Adzuna (Simulado),2025-05-18 13:11:27.076933
Site Reliability Engineer,GlobalTech,Málaga,2025-04-28,Freelance,Parcial,75000 - 79000 €,75000.0,79000.0,77000.0,"Estamos buscando un profesional con experiencia en Docker, GitLab, Azure, MongoDB, Agile, Spring, Kubernetes. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",DevOps,"Docker, GitLab, Azure, MongoDB, Agile, Spring, Kubernetes",https://www.ejemplo.com/job/1062,job-1062,Adzuna (Simulado),2025-05-18 13:11:27.076933
CTO,CodeFusion,Barcelona,2025-05-13,Parcial,Parcial,38000 - 57000 €,38000.0,57000.0,47500.0,"Estamos buscando un profesional con experiencia en Docker, Vue.js, PostgreSQL, AWS, Azure, REST API. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",IT Jobs,"Docker, Vue.js, PostgreSQL, AWS, Azure, REST API",https://www.ejemplo.com/job/1063,job-1063,Adzuna (Simulado),2025-05-18 13:11:27.076933
Backend Developer Node.js,JavaPros,Zaragoza,2025-04-27,Indefinido,Completa,68000 - 86000 €,68000.0,86000.0,77000.0,"Estamos buscando un profesional con experiencia en MongoDB, Linux, GitHub Actions. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",UX/UI,"MongoDB, Linux, GitHub Actions",https://www.ejemplo.com/job/1064,job-1064,Adzuna (Simulado),2025-05-18 13:11:27.076933
Scrum Master,KernelLabs,Alicante,2025-05-15,Temporal,Completa,75000 - 112000 €,75000.0,112000.0,93500.0,"Estamos buscando un profesional con experiencia en MySQL, Flask, Vue.js. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",UX/UI,"MySQL, Flask, Vue.js",https://www.ejemplo.com/job/1065,job-1065,Adzuna (Simulado),2025-05-18 13:11:27.076933
Data Engineer,DataMinds,Remoto,2025-04-30,Indefinido,Parcial,28000 - 46000 €,28000.0,46000.0,37000.0,"Estamos buscando un profesional con experiencia en Docker, Flask, TypeScript, Linux. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Desarrollo de Software,"Docker, Flask, TypeScript, Linux",https://www.ejemplo.com/job/1066,job-1066,Adzuna (Simulado),2025-05-18 13:11:27.076933
Software Architect,CodeFusion,Valencia,2025-05-11,Temporal,Parcial,35000 - 39000 €,35000.0,39000.0,37000.0,"Estamos buscando un profesional con experiencia en SQL, Django, GitLab. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Desarrollo de Software,"SQL, Django, GitLab",https://www.ejemplo.com/job/1067,job-1067,Adzuna (Simulado),2025-05-18 13:11:27.076933
Backend Developer Node.js,JavaPros,Híbrido (Barcelona),2025-05-16,Freelance,Completa,41000 - 64000 €,41000.0,64000.0,52500.0,"Estamos buscando un profesional con experiencia en GitLab, GCP, Flask. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",UX/UI,"GitLab, GCP, Flask",https://www.ejemplo.com/job/1068,job-1068,Adzuna (Simulado),2025-05-18 13:11:27.076933
Ingeniero de Software Java,KernelLabs,Bilbao,2025-05-17,Prácticas,Completa,43000 - 72000 €,43000.0,72000.0,57500.0,"Estamos buscando un profesional con experiencia en AWS, Flask, GCP. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Desarrollo de Software,"AWS, Flask, GCP",https://www.ejemplo.com/job/1069,job-1069,Adzuna (Simulado),2025-05-18 13:11:27.076933
Desarrollador Python Senior,FutureCode,Zaragoza,2025-05-02,Parcial,Parcial,45000 - 80000 €,45000.0,80000.0,62500.0,"Estamos buscando un profesional con experiencia en Django, Vue.js, Angular. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Desarrollo de Software,"Django, Vue.js, Angular",https://www.ejemplo.com/job/1070,job-1070,Adzuna (Simulado),2025-05-18 13:11:27.076933
Site Reliability Engineer,LogicWorks,Valencia,2025-05-13,Indefinido,Parcial,57000 - 92000 €,57000.0,92000.0,74500.0,"Estamos buscando un profesional con experiencia en Kubernetes, GitLab, Flask, MySQL, JavaScript. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Data Science,"Kubernetes, GitLab, Flask, MySQL, JavaScript",https://www.ejemplo.com/job/1071,job-1071,Adzuna (Simulado),2025-05-18 13:11:27.076933
Software Architect,CloudNative,Zaragoza,2025-05-13,Indefinido,Completa,37000 - 79000 €,37000.0,79000.0,58000.0,"Estamos buscando un profesional con experiencia en GitLab, React, Linux, MySQL, JavaScript, Jira. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",UX/UI,"GitLab, React, Linux, MySQL, JavaScript, Jira",https://www.ejemplo.com/job/1072,job-1072,Adzuna (Simulado),2025-05-18 13:11:27.076933
UX/UI Designer,LogicWorks,Madrid,2025-05-15,Indefinido,Completa,63000 - 91000 €,63000.0,91000.0,77000.0,"Estamos buscando un profesional con experiencia en Docker, Vue.js, GitHub Actions. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Data Science,"Docker, Vue.js, GitHub Actions",https://www.ejemplo.com/job/1073,job-1073,Adzuna (Simulado),2025-05-18 13:11:27.076933
Backend Developer Node.js,ByteLogic,Valencia,2025-05-06,Prácticas,Parcial,74000 - 99000 €,74000.0,99000.0,86500.0,"Estamos buscando un profesional con experiencia en CI/CD, Node.js, AWS, Docker, TypeScript. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Tecnología,"CI/CD, Node.js, AWS, Docker, TypeScript",https://www.ejemplo.com/job/1074,job-1074,Adzuna (Simulado),2025-05-18 13:11:27.076933
CTO,CodeFusion,Madrid,2025-05-01,Temporal,Parcial,55000 - 81000 €,55000.0,81000.0,68000.0,"Estamos buscando un profesional con experiencia en React, Vue.js, GitHub Actions. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Data Science,"React, Vue.js, GitHub Actions",https://www.ejemplo.com/job/1075,job-1075,Adzuna (Simulado),2025-05-18 13:11:27.076933
Technical Lead,LogicWorks,Híbrido (Madrid),2025-05-12,Temporal,Completa,35000 - 58000 €,35000.0,58000.0,46500.0,"Estamos buscando un profesional con experiencia en MySQL, Angular, GitHub Actions. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",IT Jobs,"MySQL, Angular, GitHub Actions",https://www.ejemplo.com/job/1076,job-1076,Adzuna (Simulado),2025-05-18 13:11:27.076933
DevOps Engineer,CodeFusion,Alicante,2025-05-07,Freelance,Completa,39000 - 87000 €,39000.0,87000.0,63000.0,"Estamos buscando un profesional con experiencia en CI/CD, PostgreSQL, REST API, Scrum, Azure, AWS. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",UX/UI,"CI/CD, PostgreSQL, REST API, Scrum, Azure, AWS",https://www.ejemplo.com/job/1077,job-1077,Adzuna (Simulado),2025-05-18 13:11:27.076933
Full Stack Developer,DevFusion,Híbrido (Barcelona),2025-04-25,Indefinido,Completa,62000 - 98000 €,62000.0,98000.0,80000.0,"Estamos buscando un profesional con experiencia en Scrum, Java, MySQL, GCP. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Desarrollo de Software,"Scrum, Java, MySQL, GCP",https://www.ejemplo.com/job/1078,job-1078,Adzuna (Simulado),2025-05-18 13:11:27.076933
Backend Developer Node.js,JavaPros,Sevilla,2025-04-25,Completa,Completa,63000 - 78000 €,63000.0,78000.0,70500.0,"Estamos buscando un profesional con experiencia en PostgreSQL, Scrum, TypeScript, GitHub Actions, MongoDB, JavaScript. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Tecnología,"PostgreSQL, Scrum, TypeScript, GitHub Actions, MongoDB, JavaScript",https://www.ejemplo.com/job/1079,job-1079,Adzuna (Simulado),2025-05-18 13:11:27.076933
Software Architect,FutureCode,Híbrido (Madrid),2025-05-01,Prácticas,Completa,72000 - 91000 €,72000.0,91000.0,81500.0,"Estamos buscando un profesional con experiencia en Git, Kubernetes, Jira, React. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",DevOps,"Git, Kubernetes, Jira, React",https://www.ejemplo.com/job/1080,job-1080,Adzuna (Simulado),2025-05-18 13:11:27.076933
QA Engineer,ElectronMinds,Barcelona,2025-04-19,Freelance,Parcial,34000 - 54000 €,34000.0,54000.0,44000.0,"Estamos buscando un profesional con experiencia en Scrum, CI/CD, Agile, Azure, REST API, Linux. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",IT Jobs,"Scrum, CI/CD, Agile, Azure, REST API, Linux",https://www.ejemplo.com/job/1081,job-1081,Adzuna (Simulado),2025-05-18 13:11:27.076933
Full Stack Developer,FutureCode,Zaragoza,2025-04-26,Prácticas,Parcial,52000 - 75000 €,52000.0,75000.0,63500.0,"Estamos buscando un profesional con experiencia en Kubernetes, MongoDB, Azure, REST API, React. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",UX/UI,"Kubernetes, MongoDB, Azure, REST API, React",https://www.ejemplo.com/job/1082,job-1082,Adzuna (Simulado),2025-05-18 13:11:27.076933
Backend Developer Node.js,ByteLogic,Híbrido (Madrid),2025-04-22,Completa,Parcial,52000 - 72000 €,52000.0,72000.0,62000.0,"Estamos buscando un profesional con experiencia en Scrum, SQL, GCP, Vue.js, TypeScript. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Desarrollo de Software,"Scrum, SQL, GCP, Vue.js, TypeScript",https://www.ejemplo.com/job/1083,job-1083,Adzuna (Simulado),2025-05-18 13:11:27.076933
Scrum Master,InnovateTech,Zaragoza,2025-04-27,Temporal,Parcial,35000 - 43000 €,35000.0,43000.0,39000.0,"Estamos buscando un profesional con experiencia en Azure, Django, GitLab, Git, CI/CD, GCP, PostgreSQL. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",DevOps,"Azure, Django, GitLab, Git, CI/CD, GCP, PostgreSQL",https://www.ejemplo.com/job/1084,job-1084,Adzuna (Simulado),2025-05-18 13:11:27.076933
Frontend Developer React,InnovateTech,Alicante,2025-04-21,Parcial,Parcial,73000 - 108000 €,73000.0,108000.0,90500.0,"Estamos buscando un profesional con experiencia en GitHub Actions, GitLab, SQL, CI/CD. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",IT Jobs,"GitHub Actions, GitLab, SQL, CI/CD",https://www.ejemplo.com/job/1085,job-1085,Adzuna (Simulado),2025-05-18 13:11:27.076933
Frontend Developer React,ElectronMinds,Sevilla,2025-05-01,Temporal,Parcial,40000 - 56000 €,40000.0,56000.0,48000.0,"Estamos buscando un profesional con experiencia en Linux, Azure, CI/CD, JavaScript. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",UX/UI,"Linux, Azure, CI/CD, JavaScript",https://www.ejemplo.com/job/1086,job-1086,Adzuna (Simulado),2025-05-18 13:11:27.076933
Backend Developer Node.js,ElectronMinds,Zaragoza,2025-05-09,Temporal,Completa,61000 - 78000 €,61000.0,78000.0,69500.0,"Estamos buscando un profesional con experiencia en GCP, React, Java. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",DevOps,"GCP, React, Java",https://www.ejemplo.com/job/1087,job-1087,Adzuna (Simulado),2025-05-18 13:11:27.076933
Software Architect,CodeFusion,Híbrido (Barcelona),2025-05-01,Completa,Completa,32000 - 47000 €,32000.0,47000.0,39500.0,"Estamos buscando un profesional con experiencia en Node.js, Django, Spring, Scrum, Jira, AWS, Python. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Data Science,"Node.js, Django, Spring, Scrum, Jira, AWS, Python",https://www.ejemplo.com/job/1088,job-1088,Adzuna (Simulado),2025-05-18 13:11:27.076933
Cloud Architect,FutureCode,Barcelona,2025-05-17,Parcial,Parcial,34000 - 82000 €,34000.0,82000.0,58000.0,"Estamos buscando un profesional con experiencia en GitLab, Scrum, Angular, MySQL. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",DevOps,"GitLab, Scrum, Angular, MySQL",https://www.ejemplo.com/job/1089,job-1089,Adzuna (Simulado),2025-05-18 13:11:27.076933
Full Stack Developer,IntelliSoft,Remoto,2025-05-04,Completa,Parcial,45000 - 45000 €,45000.0,45000.0,45000.0,"Estamos buscando un profesional con experiencia en MongoDB, Express, Vue.js, PostgreSQL, Spring. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Data Science,"MongoDB, Express, Vue.js, PostgreSQL, Spring",https://www.ejemplo.com/job/1090,job-1090,Adzuna (Simulado),2025-05-18 13:11:27.076933
QA Engineer,DevFusion,Madrid,2025-05-08,Freelance,Completa,74000 - 75000 €,74000.0,75000.0,74500.0,"Estamos buscando un profesional con experiencia en TypeScript, REST API, SQL, AWS, Java, Spring, Django. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Desarrollo de Software,"TypeScript, REST API, SQL, AWS, Java, Spring, Django",https://www.ejemplo.com/job/1091,job-1091,Adzuna (Simulado),2025-05-18 13:11:27.076933
Machine Learning Engineer,LogicWorks,Sevilla,2025-05-12,Temporal,Parcial,31000 - 41000 €,31000.0,41000.0,36000.0,"Estamos buscando un profesional con experiencia en Spring, Docker, SQL, Vue.js, MongoDB. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Desarrollo de Software,"Spring, Docker, SQL, Vue.js, MongoDB",https://www.ejemplo.com/job/1092,job-1092,Adzuna (Simulado),2025-05-18 13:11:27.076933
Cloud Architect,TechCorp,Málaga,2025-05-15,Freelance,Parcial,27000 - 66000 €,27000.0,66000.0,46500.0,"Estamos buscando un profesional con experiencia en GCP, Scrum, GitLab, Node.js, Linux, Git, AWS. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Data Science,"GCP, Scrum, GitLab, Node.js, Linux, Git, AWS",https://www.ejemplo.com/job/1093,job-1093,Adzuna (Simulado),2025-05-18 13:11:27.076933
Frontend Developer React,IntelliSoft,Barcelona,2025-05-06,Completa,Completa,73000 - 119000 €,73000.0,119000.0,96000.0,"Estamos buscando un profesional con experiencia en Azure, Python, Angular, SQL. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Desarrollo de Software,"Azure, Python, Angular, SQL",https://www.ejemplo.com/job/1094,job-1094,Adzuna (Simulado),2025-05-18 13:11:27.076933
Desarrollador Python Senior,ByteLogic,Zaragoza,2025-05-03,Parcial,Parcial,71000 - 80000 €,71000.0,80000.0,75500.0,"Estamos buscando un profesional con experiencia en Node.js, Spring, Django, REST API, SQL, MySQL, PostgreSQL. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Desarrollo de Software,"Node.js, Spring, Django, REST API, SQL, MySQL, PostgreSQL",https://www.ejemplo.com/job/1095,job-1095,Adzuna (Simulado),2025-05-18 13:11:27.076933
Product Manager,ByteLogic,Híbrido (Madrid),2025-05-17,Completa,Parcial,44000 - 93000 €,44000.0,93000.0,68500.0,"Estamos buscando un profesional con experiencia en React, Flask, Python, TypeScript, MySQL, Vue.js, GitLab. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",IT Jobs,"React, Flask, Python, TypeScript, MySQL, Vue.js, GitLab",https://www.ejemplo.com/job/1096,job-1096,Adzuna (Simulado),2025-05-18 13:11:27.076933
Frontend Developer React,TechCorp,Híbrido (Barcelona),2025-05-10,Temporal,Completa,63000 - 95000 €,63000.0,95000.0,79000.0,"Estamos buscando un profesional con experiencia en MongoDB, GCP, Azure, Java. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",IT Jobs,"MongoDB, GCP, Azure, Java",https://www.ejemplo.com/job/1097,job-1097,Adzuna (Simulado),2025-05-18 13:11:27.076933
Backend Developer Node.js,CodeFusion,Barcelona,2025-05-13,Prácticas,Completa,63000 - 67000 €,63000.0,67000.0,65000.0,"Estamos buscando un profesional con experiencia en Spring, AWS, Vue.js, REST API, Express, SQL, Java. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",UX/UI,"Spring, AWS, Vue.js, REST API, Express, SQL, Java",https://www.ejemplo.com/job/1098,job-1098,Adzuna (Simulado),2025-05-18 13:11:27.076933
Cybersecurity Analyst,FutureCode,Remoto,2025-05-03,Prácticas,Parcial,34000 - 78000 €,34000.0,78000.0,56000.0,"Estamos buscando un profesional con experiencia en Git, Java, AWS, JavaScript, CI/CD, TypeScript. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",DevOps,"Git, Java, AWS, JavaScript, CI/CD, TypeScript",https://www.ejemplo.com/job/1099,job-1099,Adzuna (Simulado),2025-05-18 13:11:27.076933
Machine Learning Engineer,JavaPros,Remoto,2025-05-04,Parcial,Parcial,65000 - 97000 €,65000.0,97000.0,81000.0,"Estamos buscando un profesional con experiencia en SQL, GitHub Actions, GitLab, JavaScript, React, Jira. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Desarrollo de Software,"SQL, GitHub Actions, GitLab, JavaScript, React, Jira",https://www.ejemplo.com/job/1100,job-1100,Adzuna (Simulado),2025-05-18 13:11:27.076933
Full Stack Developer,JavaPros,Valencia,2025-05-10,Parcial,Parcial,46000 - 90000 €,46000.0,90000.0,68000.0,"Estamos buscando un profesional con experiencia en AWS, JavaScript, Docker, Azure, Scrum, GitHub Actions. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Data Science,"AWS, JavaScript, Docker, Azure, Scrum, GitHub Actions",https://www.ejemplo.com/job/1101,job-1101,Adzuna (Simulado),2025-05-18 13:11:27.076933
