titulo,empresa,ubicacion,fecha_publicacion,tipo_contrato,jornada,salario,salario_min,salario_max,experiencia,nivel,descripcion,requisitos,tecnologias,url,fecha_extraccion
Systems Administrator Semisenior,MobileFirst,Alicante,29/04/2025,Por obra y servicio,Parcial (mañanas),27000 - 40000 € Bruto/año,27000.0,40000.0,2-4 años,Semisenior,"¿Buscas un nuevo desafío profesional? Necesitamos un Semisenior ingeniero/a con experiencia en Python, Flutter, TensorFlow para desarrollar soluciones escalables y de alta calidad.

Requisitos:
- Experiencia de 2-4 años con Python
- Conocimientos de Flutter
- Conocimientos de TensorFlow
- Conocimientos de InfluxDB
- Trabajo en equipo
- Kanban
- Gestión del tiempo


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Python, Flutter, TensorFlow, InfluxDB, AWS, Grafana","['Python', 'Flutter', 'TensorFlow', 'InfluxDB', 'AWS', 'Grafana']",https://ejemplo.com/oferta-2,2025-05-18 12:46:39.608051
Security Engineer Semisenior,GlobalTech,Las Palmas,06/05/2025,Freelance,Parcial (tardes),28000 - 37000 € Bruto/año,28000.0,37000.0,2-4 años,Semisenior,"Buscamos un Semisenior desarrollador/a con experiencia en C++, Pandas, Vue.js para unirse a nuestro equipo. Trabajarás en proyectos innovadores utilizando las últimas tecnologías.

Requisitos:
- Experiencia de 2-4 años con C++
- Conocimientos de Pandas
- Conocimientos de Vue.js
- Conocimientos de MariaDB
- Gestión del tiempo
- Comunicación
- Resiliencia


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","C++, Pandas, Vue.js, MariaDB, GitHub Actions","['C++', 'Pandas', 'Vue.js', 'MariaDB', 'GitHub Actions']",https://ejemplo.com/oferta-1,2025-05-18 12:46:39.608051
Programador/a PHP Staff,PixelWave,Valencia,14/05/2025,Mercantil,Intensiva,65000 - 84000 € Bruto/año,65000.0,84000.0,10-15 años,Staff,"¿Te apasiona la tecnología? Únete a nuestro equipo como Staff especialista en PHP, Angular, Symfony. Ofrecemos un ambiente de trabajo dinámico y posibilidades de crecimiento.

Requisitos:
- Experiencia de 10-15 años con PHP
- Conocimientos de Angular
- Conocimientos de Symfony
- Conocimientos de InfluxDB
- Resiliencia
- Metodologías ágiles
- Pensamiento crítico


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","PHP, Angular, Symfony, InfluxDB, Google Cloud","['PHP', 'Angular', 'Symfony', 'InfluxDB', 'Google Cloud']",https://ejemplo.com/oferta-1,2025-05-18 12:46:39.608051
Data Scientist Staff,TensorMinds,Híbrido (Valencia),07/05/2025,Prácticas,Intensiva,65000 - 85000 € Bruto/año,65000.0,85000.0,10-15 años,Staff,"¿Te apasiona la tecnología? Únete a nuestro equipo como Staff especialista en Rust, ASP.NET, Next.js. Ofrecemos un ambiente de trabajo dinámico y posibilidades de crecimiento.

Requisitos:
- Experiencia de 10-15 años con Rust
- Conocimientos de ASP.NET
- Conocimientos de Next.js
- Conocimientos de BigQuery
- Capacidad analítica
- Gestión del tiempo
- Creatividad


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Rust, ASP.NET, Next.js, BigQuery, Git","['Rust', 'ASP.NET', 'Next.js', 'BigQuery', 'Git']",https://ejemplo.com/oferta-1,2025-05-18 12:46:39.608051
Technical Lead Lead,SecureTech,Zaragoza,09/05/2025,Indefinido,Parcial (mañanas),50000 - 74000 € Bruto/año,50000.0,74000.0,8-12 años,Lead,"Se precisa Lead desarrollador/a con sólidos conocimientos en Swift, Django, Vue.js para proyecto de transformación digital. Ofrecemos formación continua y buen ambiente laboral.

Requisitos:
- Experiencia de 8-12 años con Swift
- Conocimientos de Django
- Conocimientos de Vue.js
- Conocimientos de SQLite
- Trabajo en equipo
- Resolución de problemas
- Scrum


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Swift, Django, Vue.js, SQLite, SQL Server, Jira, Git, Confluence","['Swift', 'Django', 'Vue.js', 'SQLite', 'SQL Server', 'Jira', 'Git', 'Confluence']",https://ejemplo.com/oferta-3,2025-05-18 12:46:39.608051
Product Manager Principal,TensorMinds,Híbrido (Valencia),10/05/2025,Prácticas,Turnos rotativos,81000 - 121000 € Bruto/año,81000.0,121000.0,15+ años,Principal,"¿Te apasiona la tecnología? Únete a nuestro equipo como Principal especialista en Python, Next.js, FastAPI. Ofrecemos un ambiente de trabajo dinámico y posibilidades de crecimiento.

Requisitos:
- Experiencia de 15+ años con Python
- Conocimientos de Next.js
- Conocimientos de FastAPI
- Conocimientos de Neo4j
- Gestión del tiempo
- Liderazgo
- Comunicación


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Python, Next.js, FastAPI, Neo4j, SonarQube, Prometheus","['Python', 'Next.js', 'FastAPI', 'Neo4j', 'SonarQube', 'Prometheus']",https://ejemplo.com/oferta-2,2025-05-18 12:46:39.608051
Ingeniero/a de Software Principal,DigitalWave,Zaragoza,23/04/2025,Freelance,Fin de semana,79000 - 120000 € Bruto/año,79000.0,120000.0,15+ años,Principal,"Empresa líder en el sector tecnológico busca Principal programador/a con conocimientos de PHP, Pandas, DynamoDB para importante proyecto. Valoramos la proactividad y el trabajo en equipo.

Requisitos:
- Experiencia de 15+ años con PHP
- Conocimientos de Pandas
- Conocimientos de DynamoDB
- Conocimientos de Cassandra
- Liderazgo
- Resiliencia
- Adaptabilidad


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","PHP, Pandas, DynamoDB, Cassandra, Prometheus","['PHP', 'Pandas', 'DynamoDB', 'Cassandra', 'Prometheus']",https://ejemplo.com/oferta-1,2025-05-18 12:46:39.608051
Backend Developer Principal,DevFusion,Híbrido (Madrid),07/05/2025,Temporal con posibilidad de indefinido,Parcial (mañanas),79000 - 122000 € Bruto/año,79000.0,122000.0,15+ años,Principal,"Empresa líder en el sector tecnológico busca Principal programador/a con conocimientos de R, Angular, Pandas para importante proyecto. Valoramos la proactividad y el trabajo en equipo.

Requisitos:
- Experiencia de 15+ años con R
- Conocimientos de Angular
- Conocimientos de Pandas
- Conocimientos de Vue.js
- Capacidad analítica
- Kanban
- Gestión del tiempo


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","R, Angular, Pandas, Vue.js, MongoDB, BigQuery, Google Cloud, Kubernetes, Docker","['R', 'Angular', 'Pandas', 'Vue.js', 'MongoDB', 'BigQuery', 'Google Cloud', 'Kubernetes', 'Docker']",https://ejemplo.com/oferta-3,2025-05-18 12:46:39.608051
Network Engineer Junior,GlobalTech,Las Palmas,23/04/2025,Temporal con posibilidad de indefinido,Por horas,18000 - 27000 € Bruto/año,18000.0,27000.0,0-2 años,Junior,"¿Buscas un nuevo desafío profesional? Necesitamos un Junior ingeniero/a con experiencia en Scala, Vue.js, Ruby on Rails para desarrollar soluciones escalables y de alta calidad.

Requisitos:
- Experiencia de 0-2 años con Scala
- Conocimientos de Vue.js
- Conocimientos de Ruby on Rails
- Conocimientos de Symfony
- Adaptabilidad
- Capacidad analítica
- Pensamiento crítico


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Scala, Vue.js, Ruby on Rails, Symfony, MySQL, SQL Server, Jira, Postman, Azure","['Scala', 'Vue.js', 'Ruby on Rails', 'Symfony', 'MySQL', 'SQL Server', 'Jira', 'Postman', 'Azure']",https://ejemplo.com/oferta-3,2025-05-18 12:46:39.608051
Ingeniero/a DevOps Junior,FutureCode,Málaga,03/05/2025,Prácticas,Flexible,19000 - 29000 € Bruto/año,19000.0,29000.0,0-2 años,Junior,"Se precisa Junior desarrollador/a con sólidos conocimientos en Go, Flask, Laravel para proyecto de transformación digital. Ofrecemos formación continua y buen ambiente laboral.

Requisitos:
- Experiencia de 0-2 años con Go
- Conocimientos de Flask
- Conocimientos de Laravel
- Conocimientos de Vue.js
- Orientación a resultados
- Pensamiento crítico
- Empatía


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Go, Flask, Laravel, Vue.js, Elasticsearch, Jira, Google Cloud, Docker","['Go', 'Flask', 'Laravel', 'Vue.js', 'Elasticsearch', 'Jira', 'Google Cloud', 'Docker']",https://ejemplo.com/oferta-3,2025-05-18 12:46:39.608051
Desarrollador/a Python Junior,WebWizards,Híbrido (Madrid),20/04/2025,Formativo,Flexible,17000 - 29000 € Bruto/año,17000.0,29000.0,0-2 años,Junior,"Buscamos un Junior desarrollador/a con experiencia en Python, FastAPI, Pandas para unirse a nuestro equipo. Trabajarás en proyectos innovadores utilizando las últimas tecnologías.

Requisitos:
- Experiencia de 0-2 años con Python
- Conocimientos de FastAPI
- Conocimientos de Pandas
- Conocimientos de MongoDB
- Gestión del tiempo
- Creatividad
- Trabajo en equipo


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Python, FastAPI, Pandas, MongoDB, DynamoDB, Jenkins, Confluence","['Python', 'FastAPI', 'Pandas', 'MongoDB', 'DynamoDB', 'Jenkins', 'Confluence']",https://ejemplo.com/oferta-2,2025-05-18 12:46:39.608051
Desarrollador/a Vue.js Semisenior,PixelWave,Valencia,17/05/2025,Temporal con posibilidad de indefinido,Fin de semana,27000 - 39000 € Bruto/año,27000.0,39000.0,2-4 años,Semisenior,"¿Buscas un nuevo desafío profesional? Necesitamos un Semisenior ingeniero/a con experiencia en Python, FastAPI, Angular para desarrollar soluciones escalables y de alta calidad.

Requisitos:
- Experiencia de 2-4 años con Python
- Conocimientos de FastAPI
- Conocimientos de Angular
- Conocimientos de Next.js
- Creatividad
- Gestión del tiempo
- Kanban


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Python, FastAPI, Angular, Next.js, SQLite, BigQuery, Google Cloud, Terraform","['Python', 'FastAPI', 'Angular', 'Next.js', 'SQLite', 'BigQuery', 'Google Cloud', 'Terraform']",https://ejemplo.com/oferta-2,2025-05-18 12:46:39.608051
Scrum Master Staff,OptimizeIT,Bilbao,11/05/2025,Temporal,Completa,63000 - 87000 € Bruto/año,63000.0,87000.0,10-15 años,Staff,"¿Te apasiona la tecnología? Únete a nuestro equipo como Staff especialista en Python, ASP.NET, Next.js. Ofrecemos un ambiente de trabajo dinámico y posibilidades de crecimiento.

Requisitos:
- Experiencia de 10-15 años con Python
- Conocimientos de ASP.NET
- Conocimientos de Next.js
- Conocimientos de TensorFlow
- Creatividad
- Gestión del tiempo
- Trabajo en equipo


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Python, ASP.NET, Next.js, TensorFlow, Snowflake, Azure, Jenkins, Jira","['Python', 'ASP.NET', 'Next.js', 'TensorFlow', 'Snowflake', 'Azure', 'Jenkins', 'Jira']",https://ejemplo.com/oferta-3,2025-05-18 12:46:39.608051
Cloud Architect Principal,ElectronMinds,Híbrido (Madrid),18/05/2025,Prácticas,Fin de semana,80000 - 120000 € Bruto/año,80000.0,120000.0,15+ años,Principal,"¿Te apasiona la tecnología? Únete a nuestro equipo como Principal especialista en C++, Flask, Neo4j. Ofrecemos un ambiente de trabajo dinámico y posibilidades de crecimiento.

Requisitos:
- Experiencia de 15+ años con C++
- Conocimientos de Flask
- Conocimientos de Neo4j
- Conocimientos de ELK Stack
- Kanban
- Resolución de problemas
- Liderazgo


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","C++, Flask, Neo4j, ELK Stack","['C++', 'Flask', 'Neo4j', 'ELK Stack']",https://ejemplo.com/oferta-1,2025-05-18 12:46:39.608051
Product Manager Semisenior,WebWizards,Sevilla,09/05/2025,Mercantil,Parcial (tardes),29000 - 38000 € Bruto/año,29000.0,38000.0,2-4 años,Semisenior,"Empresa líder en el sector tecnológico busca Semisenior programador/a con conocimientos de C#, Flask, FastAPI para importante proyecto. Valoramos la proactividad y el trabajo en equipo.

Requisitos:
- Experiencia de 2-4 años con C#
- Conocimientos de Flask
- Conocimientos de FastAPI
- Conocimientos de Ruby on Rails
- Orientación a resultados
- Scrum
- Trabajo en equipo


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","C#, Flask, FastAPI, Ruby on Rails, InfluxDB, Google Cloud, Jira, Prometheus","['C#', 'Flask', 'FastAPI', 'Ruby on Rails', 'InfluxDB', 'Google Cloud', 'Jira', 'Prometheus']",https://ejemplo.com/oferta-3,2025-05-18 12:46:39.608051
Arquitecto/a de Software Principal,MobileFirst,Las Palmas,04/05/2025,Por obra y servicio,Completa,79000 - 122000 € Bruto/año,79000.0,122000.0,15+ años,Principal,"Buscamos un Principal desarrollador/a con experiencia en Kotlin, Vue.js, Flutter para unirse a nuestro equipo. Trabajarás en proyectos innovadores utilizando las últimas tecnologías.

Requisitos:
- Experiencia de 15+ años con Kotlin
- Conocimientos de Vue.js
- Conocimientos de Flutter
- Conocimientos de Cassandra
- Creatividad
- Metodologías ágiles
- Comunicación


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Kotlin, Vue.js, Flutter, Cassandra, Firebase, Kubernetes","['Kotlin', 'Vue.js', 'Flutter', 'Cassandra', 'Firebase', 'Kubernetes']",https://ejemplo.com/oferta-1,2025-05-18 12:46:39.608051
Systems Administrator Lead,PixelWave,Murcia,04/05/2025,Prácticas,Flexible,52000 - 74000 € Bruto/año,52000.0,74000.0,8-12 años,Lead,"Empresa líder en el sector tecnológico busca Lead programador/a con conocimientos de TypeScript, Angular, Neo4j para importante proyecto. Valoramos la proactividad y el trabajo en equipo.

Requisitos:
- Experiencia de 8-12 años con TypeScript
- Conocimientos de Angular
- Conocimientos de Neo4j
- Conocimientos de DynamoDB
- Gestión del tiempo
- Resolución de problemas
- Comunicación


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","TypeScript, Angular, Neo4j, DynamoDB, Postman","['TypeScript', 'Angular', 'Neo4j', 'DynamoDB', 'Postman']",https://ejemplo.com/oferta-1,2025-05-18 12:46:39.608051
Machine Learning Engineer Junior,IntelliSoft,Las Palmas,17/05/2025,Temporal,Completa,18000 - 28000 € Bruto/año,18000.0,28000.0,0-2 años,Junior,"¿Buscas un nuevo desafío profesional? Necesitamos un Junior ingeniero/a con experiencia en Ruby, Spring Boot, Django para desarrollar soluciones escalables y de alta calidad.

Requisitos:
- Experiencia de 0-2 años con Ruby
- Conocimientos de Spring Boot
- Conocimientos de Django
- Conocimientos de MySQL
- Orientación a resultados
- Kanban
- Adaptabilidad


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Ruby, Spring Boot, Django, MySQL, BigQuery, AWS","['Ruby', 'Spring Boot', 'Django', 'MySQL', 'BigQuery', 'AWS']",https://ejemplo.com/oferta-1,2025-05-18 12:46:39.608051
UX/UI Designer Staff,FutureCode,Sevilla,22/04/2025,Mercantil,Flexible,64000 - 84000 € Bruto/año,64000.0,84000.0,10-15 años,Staff,"Empresa líder en el sector tecnológico busca Staff programador/a con conocimientos de TypeScript, Django, Next.js para importante proyecto. Valoramos la proactividad y el trabajo en equipo.

Requisitos:
- Experiencia de 10-15 años con TypeScript
- Conocimientos de Django
- Conocimientos de Next.js
- Conocimientos de Neo4j
- Scrum
- Gestión del tiempo
- Trabajo en equipo


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","TypeScript, Django, Next.js, Neo4j, Jira, Docker, Terraform","['TypeScript', 'Django', 'Next.js', 'Neo4j', 'Jira', 'Docker', 'Terraform']",https://ejemplo.com/oferta-3,2025-05-18 12:46:39.608051
QA Engineer Semisenior,LogicWorks,Las Palmas,25/04/2025,Mercantil,Parcial (mañanas),29000 - 37000 € Bruto/año,29000.0,37000.0,2-4 años,Semisenior,"¿Te apasiona la tecnología? Únete a nuestro equipo como Semisenior especialista en C#, Spring Boot, React. Ofrecemos un ambiente de trabajo dinámico y posibilidades de crecimiento.

Requisitos:
- Experiencia de 2-4 años con C#
- Conocimientos de Spring Boot
- Conocimientos de React
- Conocimientos de Flutter
- Scrum
- Metodologías ágiles
- Comunicación


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","C#, Spring Boot, React, Flutter, Redis, Docker, Git","['C#', 'Spring Boot', 'React', 'Flutter', 'Redis', 'Docker', 'Git']",https://ejemplo.com/oferta-2,2025-05-18 12:46:39.608051
Data Scientist Junior,TechSolutions,Remoto,10/05/2025,Temporal,Turnos rotativos,18000 - 30000 € Bruto/año,18000.0,30000.0,0-2 años,Junior,"Se precisa Junior desarrollador/a con sólidos conocimientos en Swift, React, Cassandra para proyecto de transformación digital. Ofrecemos formación continua y buen ambiente laboral.

Requisitos:
- Experiencia de 0-2 años con Swift
- Conocimientos de React
- Conocimientos de Cassandra
- Conocimientos de Ansible
- Capacidad analítica
- Empatía
- Trabajo en equipo


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Swift, React, Cassandra, Ansible, Google Cloud, SonarQube","['Swift', 'React', 'Cassandra', 'Ansible', 'Google Cloud', 'SonarQube']",https://ejemplo.com/oferta-3,2025-05-18 12:46:39.608051
Technical Lead Junior,YieldTech,Híbrido (Madrid),11/05/2025,Freelance,Fin de semana,17000 - 27000 € Bruto/año,17000.0,27000.0,0-2 años,Junior,"Empresa líder en el sector tecnológico busca Junior programador/a con conocimientos de R, Express.js, Cassandra para importante proyecto. Valoramos la proactividad y el trabajo en equipo.

Requisitos:
- Experiencia de 0-2 años con R
- Conocimientos de Express.js
- Conocimientos de Cassandra
- Conocimientos de Git
- Adaptabilidad
- Resolución de problemas
- Trabajo en equipo


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","R, Express.js, Cassandra, Git, Kubernetes, Ansible","['R', 'Express.js', 'Cassandra', 'Git', 'Kubernetes', 'Ansible']",https://ejemplo.com/oferta-3,2025-05-18 12:46:39.608051
Arquitecto/a de Software Semisenior,JavaPros,Murcia,26/04/2025,Temporal con posibilidad de indefinido,Flexible,27000 - 38000 € Bruto/año,27000.0,38000.0,2-4 años,Semisenior,"¿Buscas un nuevo desafío profesional? Necesitamos un Semisenior ingeniero/a con experiencia en PHP, TensorFlow, Django para desarrollar soluciones escalables y de alta calidad.

Requisitos:
- Experiencia de 2-4 años con PHP
- Conocimientos de TensorFlow
- Conocimientos de Django
- Conocimientos de InfluxDB
- Orientación a resultados
- Scrum
- Gestión del tiempo


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","PHP, TensorFlow, Django, InfluxDB, SQL Server, Docker, Ansible, Grafana","['PHP', 'TensorFlow', 'Django', 'InfluxDB', 'SQL Server', 'Docker', 'Ansible', 'Grafana']",https://ejemplo.com/oferta-3,2025-05-18 12:46:39.608051
Full Stack Developer Staff,XenonData,Las Palmas,05/05/2025,Prácticas,Intensiva,66000 - 84000 € Bruto/año,66000.0,84000.0,10-15 años,Staff,"¿Buscas un nuevo desafío profesional? Necesitamos un Staff ingeniero/a con experiencia en Python, Laravel, Couchbase para desarrollar soluciones escalables y de alta calidad.

Requisitos:
- Experiencia de 10-15 años con Python
- Conocimientos de Laravel
- Conocimientos de Couchbase
- Conocimientos de Docker
- Pensamiento crítico
- Empatía
- Scrum


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Python, Laravel, Couchbase, Docker, ELK Stack","['Python', 'Laravel', 'Couchbase', 'Docker', 'ELK Stack']",https://ejemplo.com/oferta-3,2025-05-18 12:46:39.608051
Security Engineer Semisenior,ByteLogic,Remoto (Europa),22/04/2025,Por obra y servicio,Completa,29000 - 36000 € Bruto/año,29000.0,36000.0,2-4 años,Semisenior,"¿Buscas un nuevo desafío profesional? Necesitamos un Semisenior ingeniero/a con experiencia en Rust, Vue.js, Symfony para desarrollar soluciones escalables y de alta calidad.

Requisitos:
- Experiencia de 2-4 años con Rust
- Conocimientos de Vue.js
- Conocimientos de Symfony
- Conocimientos de Snowflake
- Creatividad
- Trabajo en equipo
- Adaptabilidad


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Rust, Vue.js, Symfony, Snowflake, BigQuery, Docker, Ansible, Postman","['Rust', 'Vue.js', 'Symfony', 'Snowflake', 'BigQuery', 'Docker', 'Ansible', 'Postman']",https://ejemplo.com/oferta-3,2025-05-18 12:46:39.608051
QA Engineer Semisenior,ReactMasters,Híbrido (Madrid),03/05/2025,Temporal,Turnos rotativos,28000 - 36000 € Bruto/año,28000.0,36000.0,2-4 años,Semisenior,"Empresa líder en el sector tecnológico busca Semisenior programador/a con conocimientos de C#, Next.js, InfluxDB para importante proyecto. Valoramos la proactividad y el trabajo en equipo.

Requisitos:
- Experiencia de 2-4 años con C#
- Conocimientos de Next.js
- Conocimientos de InfluxDB
- Conocimientos de Docker
- Capacidad analítica
- Resiliencia
- Empatía


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","C#, Next.js, InfluxDB, Docker","['C#', 'Next.js', 'InfluxDB', 'Docker']",https://ejemplo.com/oferta-1,2025-05-18 12:46:39.608051
Desarrollador/a Express.js Semisenior,VirtualVision,Híbrido (Madrid),26/04/2025,Freelance,Intensiva,27000 - 37000 € Bruto/año,27000.0,37000.0,2-4 años,Semisenior,"¿Buscas un nuevo desafío profesional? Necesitamos un Semisenior ingeniero/a con experiencia en TypeScript, Spring Boot, Django para desarrollar soluciones escalables y de alta calidad.

Requisitos:
- Experiencia de 2-4 años con TypeScript
- Conocimientos de Spring Boot
- Conocimientos de Django
- Conocimientos de Firebase
- Creatividad
- Pensamiento crítico
- Resolución de problemas


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","TypeScript, Spring Boot, Django, Firebase, Terraform, Kubernetes","['TypeScript', 'Spring Boot', 'Django', 'Firebase', 'Terraform', 'Kubernetes']",https://ejemplo.com/oferta-2,2025-05-18 12:46:39.608051
Desarrollador/a C++ Senior,ReactMasters,Madrid,15/05/2025,Temporal con posibilidad de indefinido,Turnos rotativos,36000 - 61000 € Bruto/año,36000.0,61000.0,4-8 años,Senior,"Se precisa Senior desarrollador/a con sólidos conocimientos en C++, Spring Boot, DynamoDB para proyecto de transformación digital. Ofrecemos formación continua y buen ambiente laboral.

Requisitos:
- Experiencia de 4-8 años con C++
- Conocimientos de Spring Boot
- Conocimientos de DynamoDB
- Conocimientos de Oracle
- Resolución de problemas
- Pensamiento crítico
- Metodologías ágiles


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","C++, Spring Boot, DynamoDB, Oracle, Kubernetes","['C++', 'Spring Boot', 'DynamoDB', 'Oracle', 'Kubernetes']",https://ejemplo.com/oferta-2,2025-05-18 12:46:39.608051
Machine Learning Engineer Lead,SecureTech,Las Palmas,26/04/2025,Formativo,Por horas,48000 - 75000 € Bruto/año,48000.0,75000.0,8-12 años,Lead,"Se precisa Lead desarrollador/a con sólidos conocimientos en Ruby, Express.js, MongoDB para proyecto de transformación digital. Ofrecemos formación continua y buen ambiente laboral.

Requisitos:
- Experiencia de 8-12 años con Ruby
- Conocimientos de Express.js
- Conocimientos de MongoDB
- Conocimientos de MariaDB
- Trabajo en equipo
- Orientación a resultados
- Capacidad analítica


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Ruby, Express.js, MongoDB, MariaDB, Terraform","['Ruby', 'Express.js', 'MongoDB', 'MariaDB', 'Terraform']",https://ejemplo.com/oferta-1,2025-05-18 12:46:39.608051
UX/UI Designer Senior,PixelWave,Híbrido (Valencia),09/05/2025,Temporal con posibilidad de indefinido,Turnos rotativos,37000 - 62000 € Bruto/año,37000.0,62000.0,4-8 años,Senior,"¿Te apasiona la tecnología? Únete a nuestro equipo como Senior especialista en PHP, Symfony, Cassandra. Ofrecemos un ambiente de trabajo dinámico y posibilidades de crecimiento.

Requisitos:
- Experiencia de 4-8 años con PHP
- Conocimientos de Symfony
- Conocimientos de Cassandra
- Conocimientos de PostgreSQL
- Resiliencia
- Metodologías ágiles
- Creatividad


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","PHP, Symfony, Cassandra, PostgreSQL, Grafana, Git","['PHP', 'Symfony', 'Cassandra', 'PostgreSQL', 'Grafana', 'Git']",https://ejemplo.com/oferta-2,2025-05-18 12:46:39.608051
Programador/a R Staff,GlobalTech,Bilbao,19/04/2025,Temporal,Fin de semana,65000 - 85000 € Bruto/año,65000.0,85000.0,10-15 años,Staff,"Se precisa Staff desarrollador/a con sólidos conocimientos en R, PyTorch, Flutter para proyecto de transformación digital. Ofrecemos formación continua y buen ambiente laboral.

Requisitos:
- Experiencia de 10-15 años con R
- Conocimientos de PyTorch
- Conocimientos de Flutter
- Conocimientos de Django
- Trabajo en equipo
- Creatividad
- Comunicación


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","R, PyTorch, Flutter, Django, Couchbase, BigQuery, Docker, Ansible","['R', 'PyTorch', 'Flutter', 'Django', 'Couchbase', 'BigQuery', 'Docker', 'Ansible']",https://ejemplo.com/oferta-2,2025-05-18 12:46:39.608051
Database Administrator Lead,YieldTech,Sevilla,19/04/2025,Indefinido,Completa,50000 - 76000 € Bruto/año,50000.0,76000.0,8-12 años,Lead,"Empresa líder en el sector tecnológico busca Lead programador/a con conocimientos de JavaScript, Ruby on Rails, MariaDB para importante proyecto. Valoramos la proactividad y el trabajo en equipo.

Requisitos:
- Experiencia de 8-12 años con JavaScript
- Conocimientos de Ruby on Rails
- Conocimientos de MariaDB
- Conocimientos de Prometheus
- Adaptabilidad
- Gestión del tiempo
- Orientación a resultados


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","JavaScript, Ruby on Rails, MariaDB, Prometheus","['JavaScript', 'Ruby on Rails', 'MariaDB', 'Prometheus']",https://ejemplo.com/oferta-2,2025-05-18 12:46:39.608051
